gyroscope.txt

All values are in radians/second. Factory calibration and temperature compensation are still applied to the rate of rotation (angular speeds).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-drift-x estimated-drift-y estimated-drift-z
4.013 4.008 0.8432617 0.9380646 0.7708435 0.0326233 0.006210327 -0.0043640137
4.031 4.028 1.0997467 0.9704132 0.8676605 0.0326233 0.006210327 -0.0043640137
4.054 4.048 0.957077 0.6506195 0.89694214 0.0326233 0.006210327 -0.0043640137
4.073 4.068 0.5781708 0.16526794 0.87927246 0.0326233 0.006210327 -0.0043640137
4.112 4.089 0.2124176 -0.10479736 0.7870941 0.0326233 0.006210327 -0.0043640137
4.132 4.109 0.03704834 -0.14508057 0.6461334 0.0326233 0.006210327 -0.0043640137
4.153 4.129 -0.010940552 -0.0012054443 0.50997925 0.0326233 0.006210327 -0.0043640137
4.173 4.149 0.106399536 0.20295715 0.3955841 0.0326233 0.006210327 -0.0043640137
4.193 4.169 0.31513977 0.3443451 0.3148651 0.0326233 0.006210327 -0.0043640137
4.213 4.189 0.44960022 0.39222717 0.2697296 0.0326233 0.006210327 -0.0043640137
4.234 4.209 0.47019958 0.36871338 0.2521057 0.0326233 0.006210327 -0.0043640137
4.256 4.230 0.39691162 0.32302856 0.22567749 0.0326233 0.006210327 -0.0043640137
4.273 4.250 0.32546997 0.24639893 0.20747375 0.0326233 0.006210327 -0.0043640137
4.293 4.270 0.32226563 0.14611816 0.17033386 0.0326233 0.006210327 -0.0043640137
4.312 4.290 0.37602234 0.014038086 0.08963013 0.0326233 0.006210327 -0.0043640137
4.332 4.310 0.33633423 -0.05180359 -0.030685425 0.0326233 0.006210327 -0.0043640137
4.354 4.330 0.20101929 -0.046585083 -0.119903564 0.0326233 0.006210327 -0.0043640137
4.373 4.350 0.11026001 -0.06939697 -0.16845703 0.0326233 0.006210327 -0.0043640137
4.392 4.371 0.089279175 -0.13508606 -0.17045593 0.0326233 0.006210327 -0.0043640137
4.413 4.391 0.06599426 -0.2893982 -0.21002197 0.0326233 0.006210327 -0.0043640137
4.434 4.411 -0.02178955 -0.44239807 -0.25860596 0.0326233 0.006210327 -0.0043640137
4.453 4.431 -0.15182495 -0.3992157 -0.3239441 0.0326233 0.006210327 -0.0043640137
4.472 4.451 -0.23960876 -0.18029785 -0.36891174 0.0326233 0.006210327 -0.0043640137
4.493 4.471 -0.2680359 -0.04109192 -0.350708 0.0326233 0.006210327 -0.0043640137
4.513 4.491 -0.32424927 -0.119659424 -0.34907532 0.0326233 0.006210327 -0.0043640137
4.533 4.512 -0.55599976 -0.28208923 -0.3635559 0.0326233 0.006210327 -0.0043640137
4.553 4.532 -0.92033386 -0.43962097 -0.37904358 0.0326233 0.006210327 -0.0043640137
4.571 4.552 -1.0995483 -0.5259247 -0.39237976 0.0326233 0.006210327 -0.0043640137
4.593 4.572 -0.9163513 -0.4822693 -0.43981934 0.0326233 0.006210327 -0.0043640137
4.613 4.592 -0.36224365 -0.20178223 -0.4730835 0.0326233 0.006210327 -0.0043640137
4.631 4.612 0.2825775 0.1325531 -0.43475342 0.0326233 0.006210327 -0.0043640137
4.653 4.632 0.6896515 0.24919128 -0.3580017 0.0326233 0.006210327 -0.0043640137
4.673 4.653 0.8099365 0.104644775 -0.32254028 0.0326233 0.006210327 -0.0043640137
4.692 4.673 0.6721802 -0.20535278 -0.3527069 0.0326233 0.006210327 -0.0043640137
4.711 4.693 0.2760315 -0.43727112 -0.46629333 0.0326233 0.006210327 -0.0043640137
4.734 4.713 -0.21974182 -0.3765564 -0.61091614 0.0326233 0.006210327 -0.0043640137
4.752 4.733 -0.57162476 -0.11004639 -0.7019348 0.0326233 0.006210327 -0.0043640137
4.773 4.753 -0.65693665 0.13153076 -0.69207764 0.0326233 0.006210327 -0.0043640137
4.791 4.773 -0.5692291 0.13583374 -0.57907104 0.0326233 0.006210327 -0.0043640137
4.816 4.794 -0.4579773 -0.021514893 -0.44361877 0.0326233 0.006210327 -0.0043640137
4.831 4.814 -0.35881042 -0.13812256 -0.35029602 0.0326233 0.006210327 -0.0043640137
4.852 4.834 -0.28115845 -0.09744263 -0.26423645 0.0326233 0.006210327 -0.0043640137
4.872 4.854 -0.24923706 0.04034424 -0.15975952 0.0326233 0.006210327 -0.0043640137
4.894 4.874 -0.1736908 0.09739685 -0.05029297 0.0326233 0.006210327 -0.0043640137
4.917 4.894 -0.021774292 0.031967163 0.02947998 0.0326233 0.006210327 -0.0043640137
4.932 4.914 0.10710144 -0.08453369 0.08061218 0.0326233 0.006210327 -0.0043640137
4.952 4.935 0.119155884 -0.113586426 0.1116333 0.0326233 0.006210327 -0.0043640137
4.972 4.955 0.10227966 -0.047546387 0.1429596 0.0326233 0.006210327 -0.0043640137
4.994 4.975 0.07684326 0.06719971 0.17501831 0.0326233 0.006210327 -0.0043640137
5.015 4.995 0.026901245 0.15447998 0.18548584 0.0326233 0.006210327 -0.0043640137
5.032 5.015 -0.02758789 0.17921448 0.18583679 0.0326233 0.006210327 -0.0043640137
5.052 5.035 -0.05265808 0.21194458 0.20433044 0.0326233 0.006210327 -0.0043640137
5.072 5.055 -0.013259888 0.33174133 0.2546692 0.0326233 0.006210327 -0.0043640137
5.092 5.076 0.09121704 0.5299835 0.33506775 0.0326233 0.006210327 -0.0043640137
5.113 5.096 0.12689209 0.66955566 0.44911194 0.0326233 0.006210327 -0.0043640137
5.132 5.116 -0.058135986 0.615921 0.53933716 0.0326233 0.006210327 -0.0043640137
5.151 5.136 -0.33117676 0.3837738 0.5626373 0.0326233 0.006210327 -0.0043640137
5.172 5.156 -0.2849121 0.20124817 0.5467987 0.0326233 0.006210327 -0.0043640137
5.192 5.176 0.22244263 0.31262207 0.5641632 0.0326233 0.006210327 -0.0043640137
5.212 5.196 0.7371063 0.4948883 0.6062927 0.0326233 0.006210327 -0.0043640137
5.232 5.216 0.7925873 0.4002838 0.6408386 0.0326233 0.006210327 -0.0043640137
5.252 5.237 0.49046326 0.1227417 0.623703 0.0326233 0.006210327 -0.0043640137
5.273 5.257 0.12388611 -0.07887268 0.5358734 0.0326233 0.006210327 -0.0043640137
5.292 5.277 -0.14526367 -0.03425598 0.4074402 0.0326233 0.006210327 -0.0043640137
5.314 5.297 -0.26113892 0.1802826 0.30387878 0.0326233 0.006210327 -0.0043640137
