gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
9.356 9.338 0.20909119 -0.2384491 -0.20323181
9.375 9.358 0.124679565 -0.21270752 -0.22235107
9.396 9.378 0.093566895 -0.19230652 -0.23609924
9.415 9.399 0.11784363 -0.18566895 -0.23596191
9.436 9.419 0.14064026 -0.17851257 -0.22483826
9.456 9.439 0.1322174 -0.1809845 -0.20635986
9.475 9.459 0.12893677 -0.20941162 -0.17915344
9.496 9.479 0.121398926 -0.23547363 -0.1633606
9.516 9.499 0.08074951 -0.22366333 -0.15835571
9.535 9.519 0.027999878 -0.18769836 -0.15040588
9.556 9.540 0.008270264 -0.1646576 -0.1469574
9.575 9.560 0.03967285 -0.17285156 -0.17086792
9.595 9.580 0.09832764 -0.22427368 -0.2012024
9.615 9.600 0.15623474 -0.3108673 -0.20059204
9.635 9.620 0.16937256 -0.356781 -0.16333008
9.657 9.640 0.09335327 -0.29766846 -0.123413086
9.676 9.660 -0.018005371 -0.17442322 -0.088974
9.696 9.681 -0.0803833 -0.113479614 -0.061462402
9.716 9.701 -0.05101013 -0.16604614 -0.04736328
9.736 9.721 0.01083374 -0.22257996 -0.054855347
9.760 9.741 0.03643799 -0.19314575 -0.061706543
9.774 9.761 0.03413391 -0.12730408 -0.050338745
9.795 9.781 0.031677246 -0.09140015 -0.024261475
9.816 9.801 0.03540039 -0.08204651 0.0027618408
9.836 9.822 0.023376465 -0.087249756 0.024368286
9.859 9.842 0.006713867 -0.11054993 0.04977417
9.875 9.862 -0.012893677 -0.11430359 0.06851196
9.896 9.882 -0.033706665 -0.08343506 0.06919861
9.917 9.902 -0.036453247 -0.067840576 0.043655396
9.935 9.922 -0.02999878 -0.08711243 0.008590698
9.957 9.942 -0.036834717 -0.11705017 -0.009994507
9.975 9.963 -0.07833862 -0.12361145 -0.017959595
9.995 9.983 -0.1526947 -0.0899353 -0.025482178
10.017 10.003 -0.23065186 -0.056427002 -0.028030396
10.037 10.023 -0.27304077 -0.059890747 -0.015609741
10.057 10.043 -0.2672882 -0.05734253 -0.014328003
10.074 10.063 -0.23721313 -0.035217285 -0.038391113
