gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
8.591 8.584 0.04446411 0.013793945 0.003479004
8.611 8.605 0.0867157 0.1421051 0.11462402
8.633 8.625 0.108062744 0.3514862 0.1673584
8.653 8.645 0.21398926 0.38587952 0.15768433
8.673 8.665 0.1977539 0.26091003 0.11683655
8.694 8.685 0.057037354 0.15548706 0.0700531
8.718 8.705 0.04547119 0.15539551 0.06614685
8.737 8.725 0.09408569 0.25605774 0.08258057
8.752 8.746 0.040222168 0.3337555 0.10191345
8.771 8.766 0.001159668 0.3310089 0.10676575
8.792 8.786 -0.01524353 0.33509827 0.113861084
8.813 8.806 -0.046020508 0.30204773 0.11546326
8.836 8.826 -0.03881836 0.19161987 0.113601685
8.853 8.846 0.019958496 0.17367554 0.14430237
8.873 8.866 0.12614441 0.20649719 0.20065308
8.898 8.887 0.19041443 0.22624207 0.25672913
8.913 8.907 0.19094849 0.22866821 0.26487732
8.935 8.927 0.13246155 0.22053528 0.23236084
8.952 8.947 0.07537842 0.18788147 0.14916992
8.973 8.967 0.11357117 0.1743164 0.067977905
8.996 8.987 0.15235901 0.18882751 0.04978943
9.016 9.007 0.16569519 0.17788696 0.035964966
9.040 9.027 0.18829346 0.20799255 -0.005630493
9.054 9.048 0.19284058 0.21690369 -0.026351929
9.091 9.068 0.14247131 0.17303467 0.005859375
9.113 9.088 0.09890747 0.13999939 0.07839966
9.132 9.108 0.104522705 0.12649536 0.13148499
9.132 9.128 0.13191223 0.15600586 0.12411499
9.172 9.148 0.12661743 0.21237183 0.12736511
9.192 9.168 0.03390503 0.19876099 0.08248901
9.221 9.189 -0.0027008057 0.19786072 0.023010254
9.233 9.209 -0.011947632 0.20574951 -0.03187561
9.258 9.229 -0.0054779053 0.16340637 -0.05949402
9.271 9.249 0.0024414063 0.0847168 -0.08128357
9.292 9.269 0.023391724 0.02897644 -0.08918762
9.312 9.289 0.028533936 0.00630188 -0.082107544
9.332 9.309 0.046936035 0.03755188 -0.0317688
9.352 9.330 0.052474976 0.098480225 0.028289795
9.373 9.350 0.031784058 0.10699463 0.015258789
9.397 9.370 0.011520386 0.039718628 -0.03137207
9.416 9.390 0.027297974 -0.037979126 -0.035110474
9.433 9.410 0.06071472 0.025665283 -0.009277344
9.453 9.430 0.083999634 0.102493286 0.04446411
9.491 9.450 0.08276367 0.09750366 0.0843811
9.501 9.471 -0.034088135 0.06851196 0.10470581
9.516 9.491 -0.1403656 0.03907776 0.14282227
9.533 9.511 -0.13760376 0.08984375 0.18780518
9.553 9.531 -0.111694336 0.14118958 0.18893433
9.577 9.551 -0.05836487 0.14640808 0.164505
9.591 9.571 -0.016799927 0.12983704 0.15989685
9.612 9.591 0.024963379 0.12269592 0.18080139
9.640 9.612 0.07659912 0.12695313 0.20343018
9.657 9.632 0.108184814 0.123184204 0.23294067
9.672 9.652 0.17619324 0.107437134 0.28207397
9.693 9.672 0.23117065 0.08039856 0.31025696
9.714 9.692 0.2632904 0.0809021 0.29562378
9.733 9.712 0.2518158 0.062332153 0.255188
9.753 9.732 0.15545654 0.07469177 0.19792175
9.774 9.753 0.010757446 0.08432007 0.12045288
9.792 9.773 -0.07432556 0.09289551 0.04698181
9.814 9.793 -0.06315613 0.12409973 -0.027450562
9.833 9.813 -0.016738892 0.15951538 -0.049240112
9.864 9.833 0.06654358 0.09649658 0.029281616
9.876 9.853 0.2001648 0.026901245 0.10054016
9.896 9.873 0.3076477 0.007003784 0.124938965
9.913 9.894 0.3241272 0.026290894 0.12612915
9.932 9.914 0.2506256 0.036865234 0.13711548
9.958 9.934 0.2214508 0.067474365 0.14746094
9.974 9.954 0.23464966 0.048812866 0.120224
9.992 9.974 0.19776917 -0.043792725 0.059066772
10.012 9.994 0.23498535 -0.14982605 -0.030044556
10.032 10.014 0.26011658 -0.19685364 -0.11502075
10.052 10.035 0.17440796 -0.23788452 -0.14004517
10.077 10.055 -0.013534546 -0.19529724 -0.13000488
10.098 10.075 -0.17608643 -0.102874756 -0.1300354
10.115 10.095 -0.25231934 -0.07411194 -0.16819763
10.133 10.115 -0.19134521 -0.12954712 -0.21540833
10.157 10.135 -0.080596924 -0.13058472 -0.23854065
10.177 10.155 0.046447754 -0.1210022 -0.20043945
10.193 10.176 0.10668945 0.01928711 -0.09907532
10.215 10.196 0.07400513 0.10435486 -0.035186768
10.239 10.216 0.11500549 0.019195557 -0.0038452148
10.258 10.236 0.25474548 -0.09939575 0.008422852
10.275 10.256 0.31393433 0.025878906 -0.15304565
10.294 10.276 0.37768555 0.43052673 -0.32574463
10.313 10.296 0.60440063 0.6213379 -0.061843872
10.334 10.317 0.5962982 0.71388245 0.09790039
10.354 10.337 0.40751648 0.47480774 0.21406555
10.373 10.357 0.26490784 0.09802246 0.27156067
10.393 10.377 0.17384338 -0.13116455 0.21090698
10.417 10.397 0.08692932 -0.19773865 0.03253174
10.433 10.417 -0.040771484 -0.19120789 -0.15100098
